,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC099343.3,0.0161487204578519,-0.195447365788484,0.022,0.026,1
NCALD,0.0161763395270843,0.137036520370069,0.055,0.05,1
ADAM19,0.0162253151676035,0.160947757496115,0.042,0.037,1
FAM104B,0.0162362576559534,-0.17393471624056,0.027,0.03,1
CCDC152,0.0162521570148131,-0.234693824167601,0.019,0.022,1
CTSL,0.0162704086210012,0.241041511924937,0.024,0.021,1
TOB1-AS1,0.0162759092184655,-0.286093068104998,0.01,0.013,1
ARID3B,0.0163009731800497,0.137349245544356,0.053,0.048,1
ZC3H10,0.0163078585878825,-0.301534995688856,0.01,0.012,1
CES2,0.0163329987660121,0.13104678728894,0.065,0.059,1
APOBEC3F,0.0163431931290455,-0.210667542084043,0.019,0.022,1
H6PD,0.0163525882583105,0.177956029908948,0.034,0.031,1
PATZ1,0.0163683818858438,0.14859758642868,0.043,0.039,1
C5orf15,0.0163721974746624,0.137867548061476,0.048,0.043,1
OGG1,0.0163999648333238,-0.162428398049537,0.03,0.034,1
AC007569.1,0.0164659878220916,0.316663993074268,0.011,0.009,1
DESI2,0.0164709910087365,0.121492212634868,0.068,0.063,1
KLHL18,0.0164784439879239,0.129854708997431,0.054,0.049,1
LRRC37A2,0.0165360754306397,0.268854028672847,0.015,0.012,1
PI16,0.0165645813212017,0.263887420418926,0.015,0.012,1
RC3H2,0.0166235055991419,0.106536027954904,0.099,0.093,1
P2RX7,0.0166293248718114,-0.19315121027241,0.019,0.022,1
COA4,0.0167527231008736,-0.108994823934126,0.068,0.074,1
NUP160,0.016768943849195,0.119869001423461,0.07,0.065,1
RPS6KA5,0.0167906428261616,0.116105896056358,0.076,0.071,1
NFIL3,0.0168240147070573,-0.128318214595874,0.041,0.046,1
APOOL,0.0168827212756796,-0.214151964726353,0.02,0.023,1
KMT2B,0.0168873877482664,-0.140935403512982,0.041,0.046,1
HSD17B12,0.0168960546600653,0.121818906320864,0.07,0.065,1
ASH2L,0.0170563702017088,0.15193533108855,0.044,0.04,1
MADD,0.017077463483307,0.101850703750659,0.086,0.08,1
ZNF280D,0.0171364866706359,0.107827945054781,0.072,0.067,1
URB2,0.0171568301044862,0.250917616073754,0.016,0.013,1
COQ10A,0.0171759872074836,0.147169238082288,0.044,0.04,1
CTNNBIP1,0.0172603765503204,-0.16020903562383,0.047,0.051,1
ABCA2,0.0173534589803913,-0.158664433030526,0.037,0.041,1
TFB1M,0.0173763551066868,-0.147230690570703,0.04,0.045,1
TXLNG,0.0174525867448142,0.130173156271476,0.057,0.053,1
NPIPB5,0.0174724034578847,0.10613280922118,0.075,0.069,1
GYS1,0.0175043264159495,-0.192855952029205,0.026,0.029,1
IGHA2,0.0175049504432056,0.571782975723466,0.013,0.011,1
ABHD11,0.0175355837770666,0.181114370302672,0.031,0.027,1
SLC7A6,0.0175433439124227,0.122186199869068,0.075,0.069,1
SRC,0.017564396434544,0.285372144956249,0.012,0.01,1
RPUSD3,0.0175801448785823,-0.109096073836473,0.07,0.076,1
ELMOD3,0.0176129863962523,-0.133775093528693,0.049,0.054,1
ASB7,0.0176435663342802,0.163358930319314,0.035,0.031,1
TPM2,0.0176456304954515,-0.336846633191677,0.009,0.011,1
LIMK2,0.0176705209056276,0.170274621598022,0.035,0.031,1
NIPAL3,0.0176834833136331,0.108101018239312,0.079,0.073,1
ZNF749,0.0177152956506672,-0.180520015618986,0.026,0.029,1
NT5C3B,0.0177359316210856,0.138239601780349,0.055,0.05,1
ARMCX5,0.0177939292183196,0.311730994824366,0.011,0.009,1
DCPS,0.0178036095185744,-0.126041244234174,0.056,0.061,1
RIPK3,0.0178077825199665,-0.16337036088911,0.031,0.035,1
RDX,0.0178091559861599,-0.15344114339621,0.038,0.042,1
PPP1R12B,0.0178328427494689,0.20771622703136,0.024,0.02,1
HACL1,0.0179132471214841,0.129249520879799,0.061,0.056,1
CLCF1,0.0179955630530031,0.206362974318375,0.022,0.019,1
RPGR,0.0180073214448455,0.184674604996776,0.03,0.026,1
POMT1,0.0180709792340013,0.13853787180388,0.048,0.043,1
CDCA4,0.0180730934551617,0.179234777123869,0.03,0.027,1
INPP5B,0.0182231576260887,0.174285834295041,0.033,0.029,1
MYBL1,0.0182330393809846,-0.134642443968851,0.06,0.066,1
GATB,0.018247799802614,-0.228600970509196,0.015,0.018,1
PKIG,0.0182488953230639,0.194795392919877,0.03,0.027,1
FANCA,0.0182563882470445,-0.219872046419384,0.018,0.02,1
TTC32,0.0182980737101412,0.10294843107457,0.082,0.076,1
DPM2,0.0183093182835846,-0.10483871397593,0.066,0.072,1
KIAA1324,0.0183159268388243,0.264663906939839,0.015,0.013,1
TXNDC5,0.0183183583943282,-0.181175673013147,0.024,0.027,1
REPIN1,0.0183253806575339,-0.135539521765408,0.045,0.049,1
NHEJ1,0.0183292702424807,0.174714858366582,0.033,0.03,1
BAD,0.0183566952104323,-0.108393844251829,0.076,0.082,1
SDR42E2,0.0183610717570359,-0.225239309914874,0.021,0.024,1
PLEKHF1,0.018363572593479,0.148683660883534,0.071,0.065,1
RIT1,0.0183683180493769,0.129024380893425,0.048,0.044,1
PPP1R16A,0.0183993606366644,-0.2365221928104,0.016,0.018,1
DNAJC9,0.0184354121753328,0.103822318287749,0.089,0.083,1
TULP4,0.0185538764114054,0.141050104701613,0.052,0.047,1
ZNF277,0.0186041895966848,0.105350484270601,0.09,0.084,1
UBIAD1,0.0186387511418133,0.117739346560529,0.068,0.062,1
ALG14,0.0187218746346513,-0.248502333935514,0.014,0.016,1
ZNF527,0.0187692533720773,0.271294002803571,0.014,0.011,1
ZNF714,0.0187950804854959,0.198749790208499,0.022,0.019,1
HIST1H2AK,0.0188924306301593,0.164697941674047,0.028,0.025,1
MBD6,0.0189192720464786,-0.11003688234305,0.068,0.073,1
FAM24B,0.0189251929620357,0.176425243537045,0.03,0.027,1
APOLD1,0.0189314195662133,-0.184691467511042,0.025,0.028,1
ELP6,0.0189412469287484,0.117997592337,0.055,0.05,1
CBY1,0.0189940598786028,-0.297971506664053,0.009,0.011,1
AC104971.3,0.0190196915879265,0.279407453553724,0.012,0.01,1
TSFM,0.0190352969562358,0.137197358926234,0.047,0.042,1
OSBP,0.019090105949161,0.162590126913081,0.04,0.036,1
CARMIL2,0.0191652729887644,0.171782742608229,0.03,0.026,1
TRIM52,0.0192061572285509,-0.139418945686074,0.05,0.054,1
GRPEL2,0.019216977666569,0.200395763052058,0.026,0.023,1
CASZ1,0.0192342627132329,0.202962041495414,0.02,0.017,1
HLA-DRB5,0.0192427175909686,0.2681618242815,0.251,0.247,1
SPICE1,0.0193448991994433,0.150345158245445,0.034,0.03,1
MFGE8,0.0193935060229397,0.193975284888152,0.027,0.023,1
ING4,0.0194420137852727,-0.109681598897037,0.074,0.079,1
FTL,0.0194867187266739,-0.193015108749516,0.926,0.907,1
DUSP16,0.0194985992280951,0.148728071699162,0.05,0.045,1
