group,names,scores,logfoldchanges,pvals,pvals_adj
15,RAC2,14.16713,3.400291,1.46359810797917e-45,4.7611482799565874e-43
15,SNRPD2,14.163524,2.8449726,1.5406990025431014e-45,4.940361401583207e-43
15,NDUFA12,14.152564,3.7517893,1.8006925122212858e-45,5.692724525256195e-43
15,YWHAQ,14.151391,4.3957067,1.8309852502885233e-45,5.7080965177744716e-43
15,IDH2,14.110403,4.7994437,3.2769846890877287e-45,1.007605456592646e-42
15,JPT1,14.102947,4.7764344,3.642330806159033e-45,1.1048075307438603e-42
15,SERF2,14.092557,2.6740117,4.219993490410959e-45,1.2629596518101918e-42
15,GMFG,14.089365,3.1708941,4.415165261433929e-45,1.2937080185514242e-42
15,NPM1,14.089,3.0080695,4.43800754826961e-45,1.2937080185514242e-42
15,COX8A,14.071135,3.923429,5.714482488781765e-45,1.6444522300409678e-42
15,TYMS,14.067776,10.845341,5.992501491994952e-45,1.702628968219224e-42
15,COX6B1,14.044144,3.1340384,8.367358964664922e-45,2.3476717415108606e-42
15,NCL,14.029494,3.2610562,1.0288293187648853e-44,2.8510003566662488e-42
15,TPM3,14.016272,3.17018,1.2395766847452143e-44,3.393114422657449e-42
15,HNRNPA1,14.003926,2.9082415,1.4749177726101912e-44,3.9886752197600423e-42
15,PARK7,13.981221,3.7777262,2.029753736194405e-44,5.4237919479309067e-42
15,CSNK2B,13.977102,3.326808,2.150682494270767e-44,5.6793199136943095e-42
15,SNRPG,13.954955,4.317839,2.9348738701164916e-44,7.660020801004043e-42
15,TPI1,13.951812,3.9949598,3.067144425417604e-44,7.913232617577418e-42
15,YWHAB,13.944458,3.1117935,3.4001989023845317e-44,8.672825518514e-42
15,GNG5,13.937352,3.6637065,3.7562099974371416e-44,9.473246022749896e-42
15,LSM4,13.934213,4.2655425,3.9250721878595805e-44,9.789130036521794e-42
15,UBL5,13.931312,3.2597494,4.0877732606707553e-44,1.0045103533759474e-41
15,CALM3,13.9307995,4.0214696,4.117212532771414e-44,1.0045103533759474e-41
15,RANBP1,13.925276,4.785403,4.448206019888026e-44,1.0692528126752258e-41
15,MT-CO3,13.924802,2.4006402,4.477847473557481e-44,1.0692528126752258e-41
15,ERH,13.906997,4.019046,5.744097143992315e-44,1.3571789946742262e-41
